code_naf,code_rome,name,desc
73.12Z,A1203,Agent / Agente d'entretien des espaces verts,Adjoint / Adjointe technique (espaces verts) (code OGR:510747) libelle:Adjoint / Adjointe technique (espaces verts)
80.30Z,A1203,Agent / Agente d'entretien des espaces verts,Agent / Agente d'entretien des parcs et jardins (code OGR:10675) libelle:Agent / Agente d'entretien des parcs et jardins
66.22Z,A1203,Agent / Agente d'entretien des espaces verts,Agent / Agente technique (espaces verts) (code OGR:510746) libelle:Agent / Agente technique (espaces verts)
88.10A,A1203,Agent / Agente d'entretien des espaces verts,Aide jardinier / Aide jardinière (code OGR:38436) libelle:Aide jardinier / Aide jardinière
68.20B,A1203,Agent / Agente d'entretien des espaces verts,Entrepreneur / Entrepreneuse espace vert (code OGR:510748) libelle:Entrepreneur / Entrepreneuse espace vert
73.12Z,A1203,Agent / Agente d'entretien des espaces verts,Manœuvre des espaces verts (code OGR:38437) libelle:Manœuvre des espaces verts
73.12Z,A1203,Agent / Agente d'entretien des espaces verts,Ouvrier / Ouvrière d'entretien des espaces verts (code OGR:17475) libelle:Ouvrier / Ouvrière d'entretien des espaces verts
73.12Z,A1203,Agent / Agente d'entretien des espaces verts,Ouvrier / Ouvrière des espaces verts (code OGR:17480) libelle:Ouvrier / Ouvrière des espaces verts
95.12Z,A1203,Agent / Agente d'entretien des espaces verts,Ouvrier / Ouvrière du paysage (code OGR:17487) libelle:Ouvrier / Ouvrière du paysage
47.74Z,A1203,Agent / Agente d'entretien des espaces verts,Ouvrier / Ouvrière paysagiste (code OGR:17515) libelle:Ouvrier / Ouvrière paysagiste
73.12Z,A1203,Agent / Agente d'entretien des espaces verts,Technicien / Technicienne espaces verts (code OGR:488644) libelle:Technicien / Technicienne espaces verts
66.22Z,A1204,Garde de parc naturel,Agent / Agente technique des parcs nationaux (code OGR:10780) libelle:Agent / Agente technique des parcs nationaux
66.22Z,A1204,Garde de parc naturel,"Agent(e) chargé(e) protection, sauvegarde patrimoine naturel (code OGR:10358) libelle:Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel"
10.31Z,A1204,Garde de parc naturel,Eco garde (code OGR:14562) libelle:Eco garde
58.13Z,A1204,Garde de parc naturel,Garde du littoral (code OGR:15198) libelle:Garde du littoral
02.40Z,A1204,Garde de parc naturel,Garde Forestier / Forestière (code OGR:15199) libelle:Garde Forestier / Forestière
66.19A,A1204,Garde de parc naturel,Garde moniteur / Garde monitrice de parc national (code OGR:15200) libelle:Garde moniteur / Garde monitrice de parc national
01.29Z,A1204,Garde de parc naturel,Garde moniteur / Garde monitrice de parc naturel (code OGR:15201) libelle:Garde moniteur / Garde monitrice de parc naturel
63.99Z,A1204,Garde de parc naturel,Garde national/nationale de la chasse et de la faune sauvage (code OGR:15202) libelle:Garde national / Garde nationale de la chasse et de la faune sauvage
91.04Z,A1204,Garde de parc naturel,Garde technicien / Garde technicienne de réserve naturelle (code OGR:15204) libelle:Garde technicien / Garde technicienne de réserve naturelle
16.24Z,A1204,Garde de parc naturel,Garde-chasse (code OGR:15205) libelle:Garde-chasse
16.10A,A1204,Garde de parc naturel,Garde-chasse particulier / Garde-chasse particulière (code OGR:15206) libelle:Garde-chasse particulier / Garde-chasse particulière
10.31Z,A1204,Garde de parc naturel,Garde-pêche (code OGR:15208) libelle:Garde-pêche
92.00Z,A1204,Garde de parc naturel,Garde-rivière (code OGR:15210) libelle:Garde-rivière
10.31Z,A1204,Garde de parc naturel,Observateur / Observatrice des pêches (code OGR:200100) libelle:Observateur / Observatrice des pêches
63.99Z,A1204,Garde de parc naturel,Technicien / Technicienne cynégétique (code OGR:19706) libelle:Technicien / Technicienne cynégétique
72.20Z,A1204,Garde de parc naturel,Technicien / Technicienne de rivière (code OGR:38379) libelle:Technicien / Technicienne de rivière
02.40Z,A1205,Sylviculteur / Sylvicultrice,Entrepreneur / Entrepreneuse de travaux forestiers (code OGR:509844) libelle:Entrepreneur / Entrepreneuse de travaux forestiers
02.40Z,A1205,Sylviculteur / Sylvicultrice,Exploitant forestier / Exploitante forestière (code OGR:15010) libelle:Exploitant forestier / Exploitante forestière
25.72Z,A1205,Sylviculteur / Sylvicultrice,Populiculteur / Populicultrice (code OGR:17889) libelle:Populiculteur / Populicultrice
02.40Z,A1205,Sylviculteur / Sylvicultrice,Régisseur / Régisseuse d'exploitation forestière (code OGR:510767) libelle:Régisseur / Régisseuse d'exploitation forestière
94.20Z,A1206,Concepteur / Conceptrice paysagiste,Architecte paysagiste (code OGR:11122) libelle:Architecte paysagiste
71.11Z,A1206,Concepteur / Conceptrice paysagiste,Architecte paysagiste urbain / Architecte paysagiste urbaine (code OGR:11123) libelle:Architecte paysagiste urbain / Architecte paysagiste urbaine
66.22Z,A1207,Chef / Cheffe d'équipe d'entretien d'espaces naturels,Agent / Agente de plaine (code OGR:510745) libelle:Agent / Agente de plaine
73.12Z,A1207,Chef / Cheffe d'équipe d'entretien d'espaces naturels,Responsable technique des espaces naturels (code OGR:490262) libelle:Responsable technique des espaces naturels
73.12Z,A1207,Chef / Cheffe d'équipe d'entretien d'espaces naturels,Technicien / Technicienne des espaces naturels (code OGR:510744) libelle:Technicien / Technicienne des espaces naturels
95.12Z,A1208,Jardinier / Jardinière paysagiste,Apprenti / Apprentie paysagiste (code OGR:510750) libelle:Apprenti / Apprentie paysagiste
97.00Z,A1208,Jardinier / Jardinière paysagiste,Employé jardinier / Employée jardinière (code OGR:488831) libelle:Employé jardinier / Employée jardinière
46.48Z,A1208,Jardinier / Jardinière paysagiste,Entrepreneur / Entrepreneuse paysagiste (code OGR:510751) libelle:Entrepreneur / Entrepreneuse paysagiste
80.30Z,A1208,Jardinier / Jardinière paysagiste,Jardinier / Jardinière (code OGR:16067) libelle:Jardinier / Jardinière
73.12Z,A1208,Jardinier / Jardinière paysagiste,Jardinier / Jardinière d'espaces verts (code OGR:16068) libelle:Jardinier / Jardinière d'espaces verts
81.22Z,A1208,Jardinier / Jardinière paysagiste,Jardinier municipal / Jardinière municipale (code OGR:488832) libelle:Jardinier municipal / Jardinière municipale
02.40Z,A1209,Elagueur / Elagueuse,Arboriste (code OGR:11105) libelle:Arboriste
02.40Z,A1209,Elagueur / Elagueuse,Arboriste grimpeur / Arboriste grimpeuse (code OGR:11106) libelle:Arboriste grimpeur / Arboriste grimpeuse
18.20Z,A1209,Elagueur / Elagueuse,Ehouppeur / Ehouppeuse (code OGR:14607) libelle:Ehouppeur / Ehouppeuse
73.12Z,A1209,Elagueur / Elagueuse,Elagueur / Elagueuse espaces verts (code OGR:14609) libelle:Elagueur / Elagueuse espaces verts
01.46Z,A1209,Elagueur / Elagueuse,Elagueur-botteur / Elagueuse-botteuse (code OGR:14610) libelle:Elagueur-botteur / Elagueuse-botteuse
35.11Z,A1209,Elagueur / Elagueuse,Elagueur-grimpeur / Elagueuse-grimpeuse (code OGR:14611) libelle:Elagueur-grimpeur / Elagueuse-grimpeuse
10.31Z,A1209,Elagueur / Elagueuse,Grimpeur-élagueur / Grimpeuse-élagueuse (code OGR:15429) libelle:Grimpeur-élagueur / Grimpeuse-élagueuse
71.12A,A1210,Ouvrier forestier / Ouvrière forestière,Leveur / Leveuse de liège (code OGR:510760) libelle:Leveur / Leveuse de liège
02.40Z,A1210,Ouvrier forestier / Ouvrière forestière,Manœuvre forestier / Manœuvre forestière (code OGR:16353) libelle:Manœuvre forestier / Manœuvre forestière
80.10Z,A1210,Ouvrier forestier / Ouvrière forestière,Ouvrier sylvicole / Ouvrière sylvicole (code OGR:17536) libelle:Ouvrier sylvicole / Ouvrière sylvicole
69.20Z,A1210,Ouvrier forestier / Ouvrière forestière,Ouvrier sylviculteur / Ouvrière sylvicutrice (code OGR:17537) libelle:Ouvrier sylviculteur / Ouvrière sylvicultrice
17.24Z,A1210,Ouvrier forestier / Ouvrière forestière,Résinier / Résinière (code OGR:510815) libelle:Résinier / Résinière
56.29A,A1211,Chef / Cheffe d'équipe paysagiste,Chef / Cheffe d'équipe d'entretien des espaces verts (code OGR:12439) libelle:Chef / Cheffe d'équipe d'entretien des espaces verts
95.12Z,A1211,Chef / Cheffe d'équipe paysagiste,Technicien / Technicienne paysagiste (code OGR:38077) libelle:Technicien / Technicienne paysagiste
02.40Z,A1212,Chef / Cheffe d'équipe de travaux forestiers,Chef / Cheffe d'équipe d'exploitation forestière (code OGR:489099) libelle:Chef / Cheffe d'équipe d'exploitation forestière
02.40Z,A1212,Chef / Cheffe d'équipe de travaux forestiers,Contremaître / Contremaîtresse d'exploitation forestière (code OGR:13572) libelle:Contremaître / Contremaîtresse d'exploitation forestière
02.40Z,A1213,Conducteur / Conductrice de travaux forestiers,Agent / Agente de maîtrise d'exploitation forestière (code OGR:10514) libelle:Agent / Agente de maîtrise d'exploitation forestière
01.27Z,A1213,Conducteur / Conductrice de travaux forestiers,Chef / Cheffe de chantiers forestiers (code OGR:490472) libelle:Chef / Cheffe de chantiers forestiers
01.27Z,A1213,Conducteur / Conductrice de travaux forestiers,Chef / Cheffe de district forestier (code OGR:12136) libelle:Chef / Cheffe de district forestier
02.40Z,A1213,Conducteur / Conductrice de travaux forestiers,Responsable de secteur sur chantiers forestiers (code OGR:490471) libelle:Responsable de secteur sur chantiers forestiers
58.14Z,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne arboricole (code OGR:19657) libelle:Technicien / Technicienne arboricole
01.61Z,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne d'agriculture (code OGR:19709) libelle:Technicien / Technicienne d'agriculture
58.21Z,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne de génie écologique (code OGR:200083) libelle:Technicien / Technicienne de génie écologique
62.02B,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne de maintenance végétale (code OGR:19875) libelle:Technicien / Technicienne de maintenance végétale
72.20Z,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne d'expérimentation (code OGR:19968) libelle:Technicien / Technicienne d'expérimentation
42.99Z,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne du génie rural (code OGR:20019) libelle:Technicien / Technicienne du génie rural
77.32Z,A1301,Technicien / Technicienne de culture maraîchère,Technicien(ne) du génie sanitaire et environnement (code OGR:20020) libelle:Technicien / Technicienne du génie sanitaire et environnement
01.61Z,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne en agriculture biologique (code OGR:20036) libelle:Technicien / Technicienne en agriculture biologique
58.14Z,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne horticole (code OGR:20165) libelle:Technicien / Technicienne horticole
60.20A,A1301,Technicien / Technicienne de culture maraîchère,Technicien foncier / Technicienne foncière (code OGR:20147) libelle:Technicien foncier / Technicienne foncière
01.61Z,A1301,Technicien / Technicienne de culture maraîchère,Technicien foncier / Technicienne foncière en agriculture (code OGR:20148) libelle:Technicien foncier / Technicienne foncière en agriculture
18.20Z,A1302,Technicien / Technicienne agricole,Agent / Agente de collecte d'embryons (code OGR:10401) libelle:Agent / Agente de collecte d'embryons
01.41Z,A1302,Technicien / Technicienne agricole,Agent / Agente de production laitière (code OGR:10566) libelle:Agent / Agente de production laitière
23.42Z,A1302,Technicien / Technicienne agricole,Agent / Agente sanitaire apicole (code OGR:10754) libelle:Agent / Agente sanitaire apicole
01.61Z,A1302,Technicien / Technicienne agricole,Agent / Agente sanitaire de l'agriculture (code OGR:10755) libelle:Agent / Agente sanitaire de l'agriculture
66.22Z,A1302,Technicien / Technicienne agricole,Agent / Agente technique agricole (code OGR:10759) libelle:Agent / Agente technique agricole
66.22Z,A1302,Technicien / Technicienne agricole,Agent / Agente technique d'élevage (code OGR:10778) libelle:Agent / Agente technique d'élevage
14.31Z,A1302,Technicien / Technicienne agricole,Agent / Agente technique en produits de traitement (code OGR:10789) libelle:Agent / Agente technique en produits de traitement
23.42Z,A1302,Technicien / Technicienne agricole,Assistant / Assistante sanitaire apicole (code OGR:11330) libelle:Assistant / Assistante sanitaire apicole
01.61Z,A1302,Technicien / Technicienne agricole,Contrôleur / Contrôleuse de croissance de l'agriculture (code OGR:13594) libelle:Contrôleur / Contrôleuse de croissance de l'agriculture
01.12Z,A1302,Technicien / Technicienne agricole,Contrôleur / Contrôleuse de culture (code OGR:13595) libelle:Contrôleur / Contrôleuse de culture
23.42Z,A1302,Technicien / Technicienne agricole,Contrôleur / Contrôleuse de performance (code OGR:13612) libelle:Contrôleur / Contrôleuse de performance
14.31Z,A1302,Technicien / Technicienne agricole,Contrôleur / Contrôleuse viticole (code OGR:13662) libelle:Contrôleur / Contrôleuse viticole
