code_naf,code_rome,name,desc
,A1203,Agent / Agente d'entretien des espaces verts,Aide jardinier / Aide jardinière (code OGR:38436) libelle:Aide jardinier / Aide jardinière
,A1203,Agent / Agente d'entretien des espaces verts,Entrepreneur / Entrepreneuse espace vert (code OGR:510748) libelle:Entrepreneur / Entrepreneuse espace vert
,A1203,Agent / Agente d'entretien des espaces verts,Manœuvre des espaces verts (code OGR:38437) libelle:Manœuvre des espaces verts
,A1203,Agent / Agente d'entretien des espaces verts,Ouvrier / Ouvrière d'entretien des espaces verts (code OGR:17475) libelle:Ouvrier / Ouvrière d'entretien des espaces verts
,A1203,Agent / Agente d'entretien des espaces verts,Ouvrier / Ouvrière des espaces verts (code OGR:17480) libelle:Ouvrier / Ouvrière des espaces verts
,A1203,Agent / Agente d'entretien des espaces verts,Ouvrier / Ouvrière du paysage (code OGR:17487) libelle:Ouvrier / Ouvrière du paysage
,A1203,Agent / Agente d'entretien des espaces verts,Ouvrier / Ouvrière paysagiste (code OGR:17515) libelle:Ouvrier / Ouvrière paysagiste
,A1203,Agent / Agente d'entretien des espaces verts,Technicien / Technicienne espaces verts (code OGR:488644) libelle:Technicien / Technicienne espaces verts
,A1204,Garde de parc naturel,Agent / Agente technique des parcs nationaux (code OGR:10780) libelle:Agent / Agente technique des parcs nationaux
,A1204,Garde de parc naturel,"Agent(e) chargé(e) protection, sauvegarde patrimoine naturel (code OGR:10358) libelle:Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel"
,A1204,Garde de parc naturel,Eco garde (code OGR:14562) libelle:Eco garde
,A1204,Garde de parc naturel,Garde du littoral (code OGR:15198) libelle:Garde du littoral
,A1204,Garde de parc naturel,Garde Forestier / Forestière (code OGR:15199) libelle:Garde Forestier / Forestière
,A1204,Garde de parc naturel,Garde moniteur / Garde monitrice de parc national (code OGR:15200) libelle:Garde moniteur / Garde monitrice de parc national
,A1204,Garde de parc naturel,Garde moniteur / Garde monitrice de parc naturel (code OGR:15201) libelle:Garde moniteur / Garde monitrice de parc naturel
,A1204,Garde de parc naturel,Garde national/nationale de la chasse et de la faune sauvage (code OGR:15202) libelle:Garde national / Garde nationale de la chasse et de la faune sauvage
,A1204,Garde de parc naturel,Garde technicien / Garde technicienne de réserve naturelle (code OGR:15204) libelle:Garde technicien / Garde technicienne de réserve naturelle
,A1204,Garde de parc naturel,Garde-chasse (code OGR:15205) libelle:Garde-chasse
,A1204,Garde de parc naturel,Garde-chasse particulier / Garde-chasse particulière (code OGR:15206) libelle:Garde-chasse particulier / Garde-chasse particulière
,A1204,Garde de parc naturel,Garde-pêche (code OGR:15208) libelle:Garde-pêche
,A1204,Garde de parc naturel,Garde-rivière (code OGR:15210) libelle:Garde-rivière
,A1204,Garde de parc naturel,Observateur / Observatrice des pêches (code OGR:200100) libelle:Observateur / Observatrice des pêches
,A1204,Garde de parc naturel,Technicien / Technicienne cynégétique (code OGR:19706) libelle:Technicien / Technicienne cynégétique
,A1204,Garde de parc naturel,Technicien / Technicienne de rivière (code OGR:38379) libelle:Technicien / Technicienne de rivière
,A1205,Sylviculteur / Sylvicultrice,Entrepreneur / Entrepreneuse de travaux forestiers (code OGR:509844) libelle:Entrepreneur / Entrepreneuse de travaux forestiers
,A1205,Sylviculteur / Sylvicultrice,Exploitant forestier / Exploitante forestière (code OGR:15010) libelle:Exploitant forestier / Exploitante forestière
,A1205,Sylviculteur / Sylvicultrice,Populiculteur / Populicultrice (code OGR:17889) libelle:Populiculteur / Populicultrice
,A1205,Sylviculteur / Sylvicultrice,Régisseur / Régisseuse d'exploitation forestière (code OGR:510767) libelle:Régisseur / Régisseuse d'exploitation forestière
,A1206,Concepteur / Conceptrice paysagiste,Architecte paysagiste (code OGR:11122) libelle:Architecte paysagiste
,A1206,Concepteur / Conceptrice paysagiste,Architecte paysagiste urbain / Architecte paysagiste urbaine (code OGR:11123) libelle:Architecte paysagiste urbain / Architecte paysagiste urbaine
,A1207,Chef / Cheffe d'équipe d'entretien d'espaces naturels,Agent / Agente de plaine (code OGR:510745) libelle:Agent / Agente de plaine
,A1207,Chef / Cheffe d'équipe d'entretien d'espaces naturels,Responsable technique des espaces naturels (code OGR:490262) libelle:Responsable technique des espaces naturels
,A1207,Chef / Cheffe d'équipe d'entretien d'espaces naturels,Technicien / Technicienne des espaces naturels (code OGR:510744) libelle:Technicien / Technicienne des espaces naturels
,A1208,Jardinier / Jardinière paysagiste,Apprenti / Apprentie paysagiste (code OGR:510750) libelle:Apprenti / Apprentie paysagiste
,A1208,Jardinier / Jardinière paysagiste,Employé jardinier / Employée jardinière (code OGR:488831) libelle:Employé jardinier / Employée jardinière
,A1208,Jardinier / Jardinière paysagiste,Entrepreneur / Entrepreneuse paysagiste (code OGR:510751) libelle:Entrepreneur / Entrepreneuse paysagiste
,A1208,Jardinier / Jardinière paysagiste,Jardinier / Jardinière (code OGR:16067) libelle:Jardinier / Jardinière
,A1208,Jardinier / Jardinière paysagiste,Jardinier / Jardinière d'espaces verts (code OGR:16068) libelle:Jardinier / Jardinière d'espaces verts
,A1208,Jardinier / Jardinière paysagiste,Jardinier municipal / Jardinière municipale (code OGR:488832) libelle:Jardinier municipal / Jardinière municipale
,A1209,Elagueur / Elagueuse,Arboriste (code OGR:11105) libelle:Arboriste
,A1209,Elagueur / Elagueuse,Arboriste grimpeur / Arboriste grimpeuse (code OGR:11106) libelle:Arboriste grimpeur / Arboriste grimpeuse
,A1209,Elagueur / Elagueuse,Ehouppeur / Ehouppeuse (code OGR:14607) libelle:Ehouppeur / Ehouppeuse
,A1209,Elagueur / Elagueuse,Elagueur / Elagueuse espaces verts (code OGR:14609) libelle:Elagueur / Elagueuse espaces verts
,A1209,Elagueur / Elagueuse,Elagueur-botteur / Elagueuse-botteuse (code OGR:14610) libelle:Elagueur-botteur / Elagueuse-botteuse
,A1209,Elagueur / Elagueuse,Elagueur-grimpeur / Elagueuse-grimpeuse (code OGR:14611) libelle:Elagueur-grimpeur / Elagueuse-grimpeuse
,A1209,Elagueur / Elagueuse,Grimpeur-élagueur / Grimpeuse-élagueuse (code OGR:15429) libelle:Grimpeur-élagueur / Grimpeuse-élagueuse
,A1210,Ouvrier forestier / Ouvrière forestière,Leveur / Leveuse de liège (code OGR:510760) libelle:Leveur / Leveuse de liège
,A1210,Ouvrier forestier / Ouvrière forestière,Manœuvre forestier / Manœuvre forestière (code OGR:16353) libelle:Manœuvre forestier / Manœuvre forestière
,A1210,Ouvrier forestier / Ouvrière forestière,Ouvrier sylvicole / Ouvrière sylvicole (code OGR:17536) libelle:Ouvrier sylvicole / Ouvrière sylvicole
,A1210,Ouvrier forestier / Ouvrière forestière,Ouvrier sylviculteur / Ouvrière sylvicutrice (code OGR:17537) libelle:Ouvrier sylviculteur / Ouvrière sylvicultrice
,A1210,Ouvrier forestier / Ouvrière forestière,Résinier / Résinière (code OGR:510815) libelle:Résinier / Résinière
,A1211,Chef / Cheffe d'équipe paysagiste,Chef / Cheffe d'équipe d'entretien des espaces verts (code OGR:12439) libelle:Chef / Cheffe d'équipe d'entretien des espaces verts
,A1211,Chef / Cheffe d'équipe paysagiste,Technicien / Technicienne paysagiste (code OGR:38077) libelle:Technicien / Technicienne paysagiste
,A1212,Chef / Cheffe d'équipe de travaux forestiers,Chef / Cheffe d'équipe d'exploitation forestière (code OGR:489099) libelle:Chef / Cheffe d'équipe d'exploitation forestière
,A1212,Chef / Cheffe d'équipe de travaux forestiers,Contremaître / Contremaîtresse d'exploitation forestière (code OGR:13572) libelle:Contremaître / Contremaîtresse d'exploitation forestière
,A1213,Conducteur / Conductrice de travaux forestiers,Agent / Agente de maîtrise d'exploitation forestière (code OGR:10514) libelle:Agent / Agente de maîtrise d'exploitation forestière
,A1213,Conducteur / Conductrice de travaux forestiers,Chef / Cheffe de chantiers forestiers (code OGR:490472) libelle:Chef / Cheffe de chantiers forestiers
,A1213,Conducteur / Conductrice de travaux forestiers,Chef / Cheffe de district forestier (code OGR:12136) libelle:Chef / Cheffe de district forestier
,A1213,Conducteur / Conductrice de travaux forestiers,Responsable de secteur sur chantiers forestiers (code OGR:490471) libelle:Responsable de secteur sur chantiers forestiers
,A1214,Patrouilleur modeleur / Patrouilleuse modeleuse VTT,"Patrouilleur aménageur de piste VTT en montagne (code OGR:510331) libelle:Patrouilleur amenageur / Patrouilleuse aménageuse de piste VTT en montagne, bike patrol"
,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne arboricole (code OGR:19657) libelle:Technicien / Technicienne arboricole
,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne d'agriculture (code OGR:19709) libelle:Technicien / Technicienne d'agriculture
,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne de génie écologique (code OGR:200083) libelle:Technicien / Technicienne de génie écologique
,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne de maintenance végétale (code OGR:19875) libelle:Technicien / Technicienne de maintenance végétale
,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne d'expérimentation (code OGR:19968) libelle:Technicien / Technicienne d'expérimentation
,A1301,Technicien / Technicienne de culture maraîchère,Technicien / Technicienne du génie rural (code OGR:20019) libelle:Technicien / Technicienne du génie rural
